node,pos_00,pos_01,inflow_00,inflow_01,inflow_02,inflow_03,inflow_05,inflow_06,inflow_07,inflow_08,inflow_09,inflow_10,inflow_11,inflow_12,inflow_13,inflow_15,inflow_18
58,827456,7295073,-34767885,0,-431809355,-63864,0,8059869,0,0,0,398547,0,47241,8464224,-19674437,0
59,803308,7316533,10237241,0,0,-46908,0,0,-3548765,-2296927,0,257396,2309918,0,0,-3086925,0
60,806029,7317197,0,11971973,-1259476493,-1010722,-30982717,0,0,200511,-20149348,0,0,-380026,-30764233,-5051688,-91754629
61,805636,7320994,35261214,5375436,-160643672,37141,5375169,0,7915526,430636,-10410698,20823,0,80252,0,0,16670534
62,830207,7292481,34767885,6488607,0,0,0,-10267632,1267460,0,-58719333,-398547,-24061993,33941,0,19674437,0
63,773852,7296330,-12528818,0,-24616098,-228975,-6645097,0,2485574,0,0,279734,-1795616,578191,-6223471,0,-318239532
64,739417,7194482,-86779069,0,-47564568,0,-17303685,-2927310,0,-327440,0,-337820,0,247772,861096,4560096,-28459892
65,736257,7206968,0,0,-12827405,-252183,0,3130449,891795,0,0,0,0,0,-6728982,-480554,-31491517
66,736945,7215890,45627983,0,-35189383,404656,0,3965081,0,-130129,0,-90010,0,-255773,1621904,0,-25253026
67,736499,7223817,0,0,-74361794,416755,0,1942793,0,2972972,20115466,0,-2133933,0,-528083,0,35624248
68,737039,7235123,-9799985,0,0,-541813,13967262,0,-2282968,0,0,132442,0,0,-1133155,0,0
69,737978,7243950,-20005848,0,0,79486,-8974630,-4340717,0,2080345,0,0,-2349623,0,0,-1383866,0
70,742990,7251890,0,0,0,845511,0,0,0,0,12232947,87468,-2225410,0,0,3590278,89697096
71,747853,7261014,0,0,-78831178,-411830,0,0,3464683,853868,0,188946,-2276752,-83512,235019,0,-65298272
72,751479,7269103,-15797636,0,0,-9325,-7535748,0,0,610161,-10404825,0,-2950949,-137598,1168188,2056947,24189906
73,753975,7274801,0,0,0,965506,-20119417,734471,0,-920866,0,0,0,217205,0,0,-26456654
74,759099,7284504,46111760,0,40281065,0,0,0,-5459372,2771299,21086589,0,7819301,0,-1023913,0,25888934
75,763909,7291725,-17470167,0,0,0,0,0,1476482,0,-22063706,-238626,-2114670,-303255,-460090,0,-76114864
76,769352,7295111,20774594,0,56702648,-66336,8817968,0,0,-1220545,-23057210,606964,0,0,0,9814918,0
77,775107,7297175,-86117244,0,-70528671,-1139295,-4443763,0,2865215,2503014,0,284962,0,-161873,0,0,0
78,779976,7302528,0,0,-53798515,-57406,29224563,-10171542,0,-621513,26520498,0,0,-413675,-708477,6220524,13673292
79,784589,7309851,0,0,-118105399,-1291230,0,0,-215954,0,0,0,-205912,0,3552484,-2295472,68627187
80,791976,7316923,0,0,42777189,90372,11869694,0,0,0,0,0,0,-123882,-980895,1171534,25769891
81,798077,7315754,-4372520,0,28840368,-414910,0,0,0,0,0,0,0,0,2007616,-2890191,-61653048
82,730993,7104407,0,0,0,1055308,53710647,8647975,-7256905,1326178,0,-506317,-5208152,0,-726916,0,0
83,727820,7116492,37741190,0,0,225622,10795910,8220786,-1061998,-2531795,0,-369619,-3638810,0,-2527339,4587481,-36145577
84,728727,7128236,-80120988,0,0,-50545,-12290328,0,0,-1458228,27069923,124554,0,-147691,0,780752,0
85,723637,7139196,-23547647,0,126589911,-721972,0,-24646395,8718673,0,9230449,0,0,0,0,-5423366,-34274479
86,724398,7150980,6091114,0,103693884,-423085,0,329789,0,-1686539,17413403,-273253,4102583,233999,0,0,68181698
87,730899,7161058,0,0,-71294191,-1052688,0,0,0,0,0,103132,-2212292,108297,2541190,-3010563,-22401743
88,736093,7168498,-19876938,0,-75429874,347249,0,0,0,0,0,-314988,0,398088,0,0,-63122445
89,737789,7174964,0,0,0,618542,-15278656,0,783356,-2146012,0,0,0,0,0,3630663,0
90,739888,7183364,0,0,90567389,0,6522813,0,-3889722,0,14472347,-188718,-10130161,0,-1292289,3226766,64850499
91,669123,7038615,-7826096,0,-145561189,-399073,0,-1191658,0,0,-13148498,0,-969095,0,-3146149,0,-24908991
92,672160,7046809,8557019,0,0,500521,12811106,9455808,0,816734,19965272,183626,0,86638,1906167,0,-29513912
93,678675,7052051,-16531235,0,0,936985,-5273571,0,0,0,22953098,87622,-3116326,-181536,-1198423,2772639,0
94,682899,7061453,46714486,0,-63154636,0,0,0,-2923914,426624,0,0,0,0,-124596,0,6608852
95,684688,7063724,5443513,0,0,302590,0,0,6845117,-1493217,-35328482,-57329,3564249,189208,2604899,0,-52533036
96,691068,7068409,0,0,0,0,0,2096924,1477365,311387,0,0,0,0,1504752,-5049866,-22521804
97,697097,7077439,28094445,0,-40106986,-551126,0,0,-1506381,-608607,-22132389,-180611,0,-128948,5278601,-4653560,0
98,706196,7079794,-8663004,0,0,0,-4097080,3006536,0,0,0,415348,0,-222353,1859519,1663563,0
99,708797,7078696,-22667534,0,-44010032,251415,-10269685,0,0,-124956,2794923,0,0,203105,756201,-2523741,0
100,712568,7078573,-4478936,0,-16106854,-10098,0,0,-891641,7679,7344039,0,0,0,-698032,423049,4134495
101,713887,7081292,-16201098,0,-36722876,-252843,8848811,0,0,652217,-4616956,0,0,90214,-1931097,-2377315,0
102,718259,7078813,0,0,25344179,-318534,-2709419,0,-2992426,735486,0,36158,0,0,0,-3030828,0
103,721940,7082048,10968126,0,29649529,341419,1667338,8472685,0,0,-18813480,0,-1450298,0,0,0,-7104776
104,726168,7090909,-16668358,0,0,0,-2600860,-8866598,0,541889,0,-86543,-728453,215104,2678933,-914307,-8077842
105,609827,7010999,-8075958,0,0,0,5868842,8112156,1513159,0,0,0,0,125785,0,1017558,-86123363
106,609386,7016856,-29439354,0,0,-231086,0,4864262,1751225,157787,0,274343,0,-133776,1747614,0,48783045
107,610864,7021703,-16136283,0,-80981601,0,0,0,2804546,-633892,0,0,0,0,-4138569,0,22007871
108,615159,7023835,0,0,81562218,56222,-9131904,0,0,-230656,0,0,0,-84070,0,0,-18348712
109,619622,7025206,12200911,0,128997718,167741,0,0,0,0,3357302,-330160,-522355,0,-5735140,1939502,83514946
110,622372,7028991,-23020855,0,0,576564,0,0,0,0,0,-146644,5482539,-255468,534377,2092148,49751136
111,625607,7031250,0,0,0,520153,-7643368,0,-1115102,0,0,93036,7966380,-43553,1055448,2748938,0
112,632318,7031922,0,0,0,-217236,-5682531,0,0,0,0,-436754,4441875,0,-1823506,0,19084794
113,642893,7031720,0,0,0,-861347,-2338986,0,0,-855194,18229212,-416910,0,84509,2356972,-2136218,-46937499
114,648616,7036003,0,0,106091435,128831,-12795377,-5258735,-1977565,-82401,33925606,20981,-811125,0,-2873604,-946174,19285817
115,656867,7036977,-9257707,0,0,0,0,-9291984,0,0,0,0,-6100052,0,-4270295,2306475,0
116,664981,7037563,0,0,-58794080,0,-33450936,1611411,8456895,0,29175943,0,0,127611,-779316,2972006,-22488464
117,916071,7331072,0,0,-138275204,0,0,0,0,0,0,0,-938054,0,5178898,2370844,0
118,870403,7350846,0,0,-4391293,-265867,-548527,0,0,0,0,25511,0,0,0,3639017,-44712896
119,884931,7349816,0,0,0,-548195,26847612,0,0,0,0,0,2524457,0,0,0,2851942
120,904687,7353164,0,0,0,0,-376383,0,0,0,0,0,-1144895,0,0,0,0
121,808684,7332798,-8647371,0,0,0,0,-3171999,0,-553293,0,0,-1124366,0,0,0,1256410
122,816893,7340768,0,0,35807369,-406917,0,0,0,0,0,0,1873819,0,-3429842,0,0
123,823475,7342347,-10103631,0,0,587394,0,0,0,0,572571,139667,0,0,0,112551,0
124,832259,7344670,27455556,0,102467835,872801,0,0,-3023713,0,0,-409407,0,0,0,-3749537,44712896
125,843218,7347669,0,0,0,387156,-27440094,0,0,0,835950,-8329,-1190961,0,0,0,10538240
126,847600,7349061,-22943297,0,0,388467,-588187,-1633655,0,296907,0,0,0,0,0,0,5330136
127,732865,7095690,48819605,0,437215568,779912,-37634488,0,1242682,0,0,320825,0,0,2872606,15334925,19186823
128,732335,7097796,0,0,0,1111697,33541280,0,0,1420968,0,-126064,-2681396,0,-2638596,6062066,-50121874
129,787450,7277419,0,0,-236647642,-1990036,0,0,0,0,-251575098,0,0,-76054,0,0,0
130,796948,7262126,23842531,0,-462152919,0,0,0,0,844473,0,0,0,0,0,0,273666222
131,800965,7259346,55304204,0,817210108,1990036,0,8059869,0,0,251575098,0,0,0,0,0,37285021
132,753349,7194321,0,0,0,0,0,0,0,0,3257930,0,5411130,0,0,0,0
133,779862,7194776,0,0,0,0,0,-3500013,0,0,4586145,0,0,-267678,0,-4224889,68911983
134,783111,7194307,48620713,0,0,-413901,0,0,0,0,0,0,-5569245,62612,0,0,0
135,785813,7193591,0,0,0,-1107781,0,5855762,0,-266411,-41279587,0,76843,0,3191590,0,0
136,790236,7190997,0,0,0,-908382,0,0,0,0,0,49819,81272,-37890,0,-1540944,0
137,793761,7190280,0,0,0,2430064,0,-2324752,0,-194219,-5718853,0,0,0,0,0,12433679
138,796728,7188191,0,0,0,0,0,5572881,0,0,0,-49819,0,0,0,0,-60158469
139,736173,7096492,0,0,-39072752,350301,13819309,0,0,0,10669918,-419007,15237199,0,0,-4814218,0
140,739353,7096259,4935,0,-69575199,-312406,0,16302442,0,4665005,-21906769,0,18517841,0,-94729,0,6496338
141,748187,7093557,-85837753,0,-19761816,0,-32532950,-5377954,0,0,0,0,-24008894,30616,2798744,0,730184
142,750503,7092555,0,0,-72902758,-4757,-35476,15013,0,-4425706,11640263,0,2487048,22207,0,0,-1754335
143,752596,7091179,0,0,-26553124,0,15203054,-207864,0,5083805,0,8034,0,268624,5855208,0,-2499976
144,757378,7090273,1808854,0,-547944,0,30756705,0,15096617,-5429915,30149,0,0,32063,-100800,6252630,-469700
145,758960,7088780,73774331,0,0,0,-21329174,-3276477,0,0,0,814157,6652171,214878,0,-7163897,-1378923
